Time,Frame,V (cm/s),Vx (cm/s),Vy (cm/s),X (cm),Y (cm)
18:23:58.420825,101,0.044938983488087565,0.010899304448772018,-0.043597217795125244,14.034791666666665,6.1119433333333335
18:23:58.532799,102,0.01967063347353536,0.0,0.01967063347353536,14.034791666666665,6.114166666666667
18:23:58.644825,103,0.07083689537356423,0.010017849815378219,0.07012494870758774,14.035903333333332,6.121948333333333
18:23:58.739796,104,0.08525030672772826,0.07093254280519774,0.04728836187013183,14.042573333333332,6.126395
18:23:58.845825,105,0.10444193732620881,0.010392361185723755,0.1039236118571578,14.043685,6.137511666666666
18:23:59.281797,107,0.05996196184644524,0.020491584510090897,0.056351857402754335,14.052578333333333,6.161968333333333
18:23:59.376797,108,0.24178750332147927,0.06947712783579006,0.2315904261193101,14.059248333333333,6.184201666666667
18:23:59.485800,109,0.21811057049564425,0.07205291960093069,0.2058654845740714,14.067029999999999,6.206434999999999
18:23:59.582800,110,0.16359953641659136,0.0907486949526353,0.13612304242896262,14.075923333333332,6.219774999999999
18:23:59.677824,111,0.25397008170418744,0.10422035062971186,0.23160077917712538,14.085928333333333,6.242008333333333
18:23:59.775801,112,0.2541003328308445,0.07704415022960462,0.24213875786446096,14.09371,6.266465
18:23:59.886813,113,0.1814458513259326,0.07272691456616287,0.16623294757982993,14.101491666666664,6.284251666666666
18:23:59.983801,114,0.2710689708049088,0.09263594039064427,0.25474883607422727,14.110384999999999,6.308708333333333
18:24:00.093795,115,0.2581838719917136,0.07868817731273987,0.2459005541023289,14.119278333333332,6.336499999999999
18:24:00.205803,116,0.20654976081423024,0.07140535917799293,0.19381454634025158,14.12706,6.357621666666666
18:24:00.297803,117,0.32106877763174574,0.10875224563838835,0.3020895712177947,14.137064999999998,6.385413333333333
18:24:00.379181,118,0.38519360715041023,0.1382764464505291,0.35951876077133793,14.148181666666666,6.414316666666666
18:24:00.471370,119,0.2483579318594563,0.12061327400968497,0.2171038932174432,14.159298333333332,6.434326666666666
18:24:00.551370,120,0.39546858396436296,0.12505814683689634,0.37517444051067717,14.169303333333332,6.464341666666667
18:24:00.872097,122,0.1718062277512433,0.04491280676067954,0.16583190188558394,14.183755,6.5177016666666665
18:24:00.959162,123,0.36334223599117166,0.0638721636529535,0.35768411645662246,14.189313333333331,6.548828333333333
18:24:01.045196,124,0.3743505585761981,0.078437331404381,0.3660408798870296,14.195983333333333,6.579955
18:24:01.125830,125,0.27767355851378067,0.05445626512578683,0.27228132562894575,14.200429999999999,6.602188333333333
18:24:01.206864,126,0.420562125539153,0.05558305504063707,0.4168729128048017,14.204876666666665,6.635538333333333
18:24:01.295402,127,0.35950401640210816,0.049121693061489724,0.3561322746958215,14.209323333333332,6.667776666666667
18:24:01.406133,128,0.21667617191815575,0.040542735257139514,0.2128493600999911,14.213769999999998,6.691121666666666
18:24:01.485098,129,0.4198038803930488,0.09850300629451537,0.40808388322010936,14.221551666666667,6.72336
18:24:01.580720,130,0.33401145476355504,0.05871608689374687,0.3288100866049464,14.22711,6.754486666666666
18:24:01.673895,131,0.23188682505421998,0.059013643167518115,0.22425184403661716,14.232668333333331,6.775608333333333
18:24:01.765830,132,0.3438680018377816,0.06044877559716956,0.3385131433441124,14.238226666666666,6.806735
18:24:01.846854,133,0.4068033136721185,0.05558454592687425,0.40298795796986203,14.242673333333332,6.838973333333333
18:24:01.925860,134,0.3175110431611984,0.07036714778707549,0.3096154502631034,14.248231666666666,6.86343
18:24:02.006070,135,0.3732161380204906,0.09702629574797357,0.36038338420681476,14.256013333333332,6.892333333333332
18:24:02.311699,137,0.18265527377639088,0.04000850838156105,0.1782197191542251,14.268241666666665,6.946805
18:24:02.390967,138,0.3395235358892598,0.06924726951577216,0.3323868936756615,14.2738,6.973484999999999
18:24:02.471450,139,0.4004657676951218,0.08390922737306365,0.39157639440765424,14.28047,7.0046116666666665
18:24:02.550843,140,0.2886864870090872,0.0700167575663006,0.28006703026516666,14.286028333333332,7.026844999999999
18:24:02.636371,141,0.3237764583259426,0.06349778765561942,0.3174889382780646,14.291586666666667,7.054636666666666
18:24:02.718860,142,0.40402475055681486,0.08185767863203383,0.3956454467215201,14.298256666666667,7.086874999999999
18:24:02.809173,143,0.28059321817679683,0.07382895964953529,0.27070618538163993,14.304926666666665,7.111331666666666
18:24:02.895103,144,0.3312409064585032,0.10474757186275814,0.31424271558829675,14.313819999999998,7.138011666666666
18:24:02.975103,145,0.4251260894797205,0.08337408561516806,0.41687042807586394,14.320489999999998,7.171361666666666
18:24:03.062084,146,0.30024666546034157,0.07578883290757579,0.2905238594789795,14.32716,7.19693
18:24:03.142091,147,0.3769608205596069,0.06864051693340094,0.37065879144044,14.332718333333332,7.226944999999999
18:24:03.240791,148,0.33525793814819765,0.06370635259825662,0.32914948842434394,14.339388333333332,7.261406666666666
18:24:03.358779,149,0.24552466761771116,0.050075800450072025,0.2403638421603218,14.344946666666665,7.288086666666666
18:24:03.459777,150,0.314669153885022,0.032379188807570215,0.3129988251397749,14.348281666666667,7.3203249999999995
18:24:03.877775,152,0.15838757364068734,0.018660865951148648,0.15728444158828114,14.356063333333331,7.385913333333333
18:24:03.973804,153,0.32425397574123,0.0,0.32425397574123,14.356063333333331,7.41704
18:24:04.076784,154,0.3705425706855126,0.0,0.3705425706855126,14.356063333333331,7.454836666666666
18:24:04.172779,155,0.3217264457992935,-0.02292206016629338,0.32090884232812683,14.353839999999998,7.485963333333333
18:24:04.282774,156,0.27536404283614646,0.0,0.27536404283614646,14.353839999999998,7.515978333333333
18:24:04.378782,157,0.3591688260021944,-0.011580067718696884,0.35898209927992925,14.352728333333333,7.55044
18:24:04.470783,158,0.3918719052081356,-0.03547841529112984,0.3902625682023375,14.349393333333332,7.5871249999999995
18:24:04.581777,159,0.3074900777809976,-0.030596406301255152,0.3059640630126559,14.346058333333334,7.620475
18:24:04.678787,160,0.33760108442368875,-0.022456890087615568,0.3368533513142527,14.343835,7.653824999999999
18:24:04.766778,161,0.45636730719258617,-0.03789924201537639,0.454790904184409,14.340499999999999,7.693844999999999
18:24:04.862778,162,0.3195189922566731,-0.011825928467872365,0.31930006863230176,14.339388333333332,7.723859999999999
18:24:04.980777,163,0.2885264676949209,-0.02779207969655863,0.2871848235312033,14.336053333333332,7.7583216666666655
18:24:05.091780,164,0.30402377234737343,-0.08084873718676298,0.29307667230203305,14.32716,7.790559999999999
18:24:05.187805,165,0.2274860845085637,-0.03547931516926271,0.22470232940527676,14.323825,7.811681666666666
18:24:05.550778,167,0.14184444579273037,-0.03654801587021435,0.1370550595133116,14.310485,7.861706666666666
18:24:05.646780,168,0.1134350407783905,-0.06806102446704204,0.09074803262270659,14.303814999999998,7.8706
18:24:05.750779,169,0.11362375354908494,-0.07482176527537965,0.0855105888861677,14.296033333333334,7.8794933333333335
18:24:05.852804,170,0.2849190211304264,-0.10004174727331622,0.26677799272882746,14.286028333333332,7.906173333333332
18:24:05.958779,171,0.18972902022085214,-0.11219884849426395,0.15299842976490224,14.2738,7.922848333333333
18:24:06.078778,172,0.08285305868275877,-0.037053014271682394,0.0741060285433727,14.269353333333333,7.9317416666666665
18:24:06.185777,173,0.2957058762882457,-0.09351040865668869,0.28053122597004837,14.259348333333332,7.961756666666665
18:24:06.296784,174,0.18555235139652773,-0.10292592572970255,0.1543888885945626,14.248231666666666,7.9784316666666655
18:24:06.389780,175,0.17582513314833156,-0.13010006192662757,0.11827278356966235,14.236003333333333,7.989548333333333
18:24:06.485777,176,0.31397043759006216,-0.14041184827535483,0.28082369655068967,14.222663333333331,8.016228333333332
18:24:06.581800,177,0.2411755925981963,-0.1588152390313279,0.1815031303215273,14.207099999999999,8.034015
18:24:06.694775,178,0.18466487429044398,-0.14020802502997287,0.12017830716855672,14.191536666666666,8.047355
18:24:06.797775,179,0.3092554011721868,-0.15110323087310926,0.26982719798767146,14.175973333333332,8.075146666666665
18:24:06.901779,180,0.19337902776183688,-0.12584940307470127,0.14682430358716045,14.162633333333334,8.09071
18:24:07.286784,182,0.11479381550665113,-0.05820277486687865,0.09894471727369022,14.1404,8.128506666666667
18:24:07.385777,183,0.19088724323916206,-0.0898292909360723,0.16842992050514513,14.131506666666667,8.145181666666666
18:24:07.479777,184,0.16547404331878127,-0.11700781814107175,0.11700781814106177,14.120389999999999,8.156298333333332
18:24:07.581798,185,0.2751901589445037,-0.07705324450444734,0.26418255258672757,14.112608333333332,8.182978333333333
18:24:07.676805,186,0.18501767634537622,-0.05850772646433067,0.17552317939297205,14.10705,8.199653333333334
18:24:07.766780,187,0.1408284368484842,-0.03705441296534078,0.1358661808728776,14.103714999999998,8.211881666666665
18:24:07.877777,188,0.28487268819884326,-0.050077951745019306,0.280436529772173,14.098156666666666,8.243008333333332
18:24:07.973779,189,0.2528942822049537,-0.06947540244613748,0.24316390856150089,14.091486666666666,8.266353333333333
18:24:08.073804,190,0.18635613279935415,-0.05558537423157489,0.1778731975410188,14.085928333333333,8.284139999999999
18:24:08.168803,191,0.4044603136217114,-0.09263732075033829,0.39370861318895745,14.077035,8.321936666666666
18:24:08.254785,192,0.3448007770187184,-0.07753173262979372,0.3359708413956994,14.070364999999999,8.35084
18:24:08.350779,193,0.22491015651955354,-0.046333849537586465,0.22008578530354558,14.065918333333332,8.371961666666666
18:24:08.443779,194,0.3735311141890262,-0.04780127632926487,0.37045989155182313,14.061471666666666,8.406423333333333
18:24:08.531776,195,0.39944546836130246,-0.12631574810543772,0.3789472443163347,14.050355,8.439773333333333
18:24:10.694779,197,0.0299193023349133,-0.008219464483350387,0.028768125691725033,14.032568333333332,8.502026666666666
18:24:10.790782,198,0.3657153784122906,-0.07172268657481301,0.35861343287408537,14.025898333333332,8.535376666666666
18:24:10.870784,199,0.29013563698522565,-0.08336986181514285,0.27789953938383316,14.019228333333333,8.55761
18:24:10.950927,200,0.5042829017321384,-0.06937337745297206,0.4994883176613374,14.01367,8.59763
18:24:11.033913,201,0.41554295714148654,-0.06616791850202089,0.4102410947126108,14.008111666666666,8.632091666666666
18:24:11.114747,202,0.2870510868751456,-0.06962011477262772,0.27848045909048713,14.002553333333333,8.654325
18:24:11.199877,203,0.4573505656995226,-0.013061828748912025,0.45716400621156456,14.001441666666665,8.693233333333334
18:24:11.280922,204,0.4793313682529557,-0.06778769218540528,0.47451384529792945,13.995883333333333,8.732141666666665
18:24:11.383077,205,0.2513562462527901,-0.04306767451401232,0.2476391284555984,13.991436666666667,8.75771
18:24:11.466100,206,0.5167323700290731,-0.040668121818270356,0.5151295430313012,13.988101666666665,8.799953333333333
