Time,Frame,V (cm/s),Vx (cm/s),Vy (cm/s),X (cm),Y (cm)
18:21:39.826403,36.0,0.025225220587060563,0.017836924534037027,-0.017836924534037027,14.01441111111111,6.128988888888888
18:21:39.920408,37.0,0.003013319250644817,-0.0021307384760159576,0.0021307384760058746,14.014210810810809,6.129189189189188
18:21:40.015413,38.0,0.0028246279305404556,-0.001997313564009092,0.0019973135640190686,14.014021052631579,6.12937894736842
18:21:40.122427,39.0,0.0023790499145836465,-0.0016822423273789445,0.0016822423273878016,14.013841025641026,6.129558974358974
18:21:40.217414,40.0,0.0025466428199072237,-0.0018007484072214194,0.0018007484072114393,14.01367,6.12973
18:21:40.313402,41.0,0.002395981647670375,-0.0016942148706662397,0.0016942148706662397,14.01350731707317,6.129892682926829
18:21:40.407409,42.0,0.0023315697945791147,-0.0016486688125566175,0.0016486688125566175,14.01335238095238,6.130047619047618
18:21:40.503404,43.0,0.0021756827640196813,-0.0015384400361440726,0.0015384400361539434,14.01320465116279,6.130195348837209
18:21:40.607405,44.0,0.0018997257531053258,-0.0013433089624200114,0.001343308962410982,14.013063636363636,6.1303363636363635
18:21:40.709407,45.0,0.0018867883340328183,-0.0013341608256535822,0.001334160825662967,14.012928888888888,6.1304711111111105
18:21:42.081430,47.0,0.0002600544589217774,-0.00018388627138173267,0.00018388627138104182,14.01267659574468,6.130723404255319
18:21:42.173402,48.0,0.0017983977989332151,-0.0012716592788915414,0.0012716592789017338,14.012558333333333,6.130841666666667
18:21:42.271408,49.0,0.0016203957306672734,-0.0011457928093605596,0.0011457928093605596,14.012444897959183,6.130955102040816
18:21:42.386407,50.0,0.0013751411239523049,-0.0009723716138351653,0.0009723716138351653,14.012336,6.131063999999999
18:21:42.471081,51.0,0.001747456133980033,-0.0012356380821633092,0.0012356380821633092,14.012231372549019,6.13116862745098
18:21:42.558082,52.0,0.0014662382221354315,-0.0010367869897166394,0.0010367869896971027,14.012130769230767,6.13126923076923
18:21:42.660066,53.0,0.017866388281752247,0.012633444309344035,-0.012633444309333728,14.013292452830187,6.1301075471698105
18:21:42.753735,54.0,0.01706717833718118,0.012068317537940956,-0.012068317537940956,14.01441111111111,6.128988888888888
18:21:42.839802,55.0,0.01771744319804603,0.012528124230625817,-0.012528124230625817,14.01548909090909,6.127910909090909
18:21:42.926600,56.0,0.016743450544367686,0.011839407420383983,-0.011839407420383983,14.01652857142857,6.1268714285714285
18:21:43.012626,57.0,0.0027482440307600112,-0.0019433019905058546,0.0019433019905058546,14.016361403508771,6.127038596491228
18:21:43.095998,58.0,0.002771133323094428,-0.001959487164332082,0.001959487164332082,14.0162,6.127199999999999
18:21:43.188075,59.0,0.014815821297910162,0.01047636770860035,-0.01047636770860035,14.017174576271186,6.126225423728813
18:21:43.270467,60.0,0.01635858754817077,0.01156726818593955,-0.011567268185951189,14.018116666666666,6.125283333333333
18:21:43.584832,62.0,0.010001089360574063,0.007071838106114552,-0.007071838106114552,14.02034,6.12306
18:21:43.678810,63.0,0.01655704375789873,0.01170759791761758,-0.011707597917607598,14.021451666666666,6.121948333333333
18:21:43.765170,64.0,0.016835278588573074,0.011904339653139634,-0.011904339653149784,14.02256333333333,6.1208366666666665
18:21:43.867073,65.0,0.016578315085696627,0.011722639017748322,-0.011722639017738326,14.023674999999999,6.119725
18:21:43.951828,66.0,0.018755996697710678,0.013262492452869366,-0.013262492452858056,14.024786666666667,6.118613333333333
18:21:44.037852,67.0,0.018280534739668,0.012926290078129992,-0.012926290078141014,14.025898333333332,6.117501666666667
18:21:44.119475,68.0,0.019277682023951623,0.01363137968470001,-0.013631379684688387,14.02701,6.11639
18:21:44.198640,69.0,0.019589925927401275,0.013852169466201703,-0.013852169466213515,14.028121666666665,6.115278333333333
18:21:44.286542,70.0,0.01809477723754716,0.012794939688735033,-0.012794939688724123,14.029233333333332,6.114166666666667
18:21:44.369144,71.0,0.018806601545296998,0.013298275483747244,-0.013298275483758582,14.030344999999999,6.113055
18:21:44.449129,72.0,0.019900312196759785,0.0140716457020642,-0.014071645702052204,14.031456666666665,6.1119433333333335
